u,v,key,length
84729190,11168091267,0,7.650832136576371
84729190,4249725619,0,13.7876075522549
84729190,4249725586,0,12.590312131003035
84729190,8041383909,0,11.584376689871545
84729190,4249725592,0,11.554135317484368
84729190,4249725618,0,9.207034082171715
84729194,582417508,0,23.991663000539326
84729194,582417523,0,26.275401575945363
84729194,8041383925,0,12.896773616547186
84733260,5594000945,0,81.24159277919041
84733260,2977586315,0,18.7525296505224
84733260,3812881236,0,11.803215162602982
84743127,8069713341,0,50.51978468085131
84743127,8032264732,0,15.982770558701688
84743127,8070000290,0,40.33366264812204
84743127,2978094667,0,103.40949562966567
84747907,3903818015,0,7.5042038754086615
84747907,84873639,0,73.72371668533292
84747907,4269007217,0,41.630689742528624
84747916,4269007167,0,8.779066951927113
84747916,4269007200,0,141.06670348774205
84747916,8034263513,0,21.079109810903407
84747972,8076535123,0,35.57619221171032
84747972,8076535123,1,35.57619221171032
84747972,2654104540,0,166.18625140933815
84747993,2654104441,0,88.26386129436241
84748032,4072026787,0,20.137774619666565
84748054,8075343343,0,13.563075376148275
84748054,4072026787,0,121.84330311543546
84748054,2654104473,0,50.81700341036936
84748055,4072028105,0,13.937197323441584
84748055,84942176,0,77.10325314846396
84748055,10058837288,0,94.56163469355648
84752961,84770926,0,6.858739028915004
84752961,1329906248,0,54.86499709071791
84752961,2838529029,0,33.890398463690396
84752964,3980487887,0,5.813107685853113
84766707,3903817996,0,7.0053169391664065
84766707,7120569005,0,15.396136911495363
84766707,2654220177,0,55.53144110672406
84766711,4072028361,0,27.52202018984744
84766711,4072028389,0,10.834670021588725
84766711,4072028498,0,118.47229681981327
84770926,84752961,0,6.858739028915004
84770926,2838529130,0,22.058602619956993
84770926,2838529097,0,32.61032331852948
84770926,8008265993,0,34.10892419391837
84770938,1637869362,0,45.59290319390437
84770938,1637869362,1,45.59290319390437
84770938,2838529131,0,21.738668559617786
84774419,4072028509,0,12.360641503884086
84774419,4072028529,0,25.114864199027316
84774419,4072028496,0,29.335489100338
84774433,4072028529,0,105.10286693334959
84774443,7929865179,0,42.76593049158895
84774443,7120569006,0,81.12357236719099
84774443,7120569019,0,8.797065416671982
84774760,8090258399,0,9.962248268213939
84774760,4214257824,0,37.01077201215316
84774760,4272412312,0,32.48377020957389
84774804,84774807,0,68.22283620117229
84774804,84774819,0,13.321329184648304
84774804,84774818,0,21.656143561371646
84774807,8076529337,0,36.62111102539519
84774807,84774804,0,68.22283620117229
84774807,2654104483,0,16.6129447349082
84774808,8076529337,0,4.378301983402692
84774808,8076529332,0,16.54593493696173
84774808,84774822,0,116.98925655637517
84774814,84774816,0,28.310195131760818
84774816,10300738945,0,67.26925497579637
84774816,84774818,0,23.832021493996237
84774816,84774814,0,28.310195131760818
84774818,84774816,0,23.832021493996237
84774818,2654104483,0,71.35756943412632
84774818,84774804,0,21.656143561371646
84774819,2654104540,0,6.883192516499441
84774819,84774804,0,13.321329184648304
84774819,84774822,0,46.18886192576846
84774822,84774819,0,46.18886192576846
84774822,84774808,0,116.98925655637517
84774822,8076529361,0,4.774400731653878
84790845,7984653282,0,9.257761012313908
84796203,9826632624,0,21.501932689970566
84796203,4431579530,0,10.901771789929494
84796203,8025639518,0,98.36881099527135
84796203,7996007937,0,42.14075112882428
84796208,4338492043,0,9.345016017391709
84796355,8025626368,0,5.953779456138428
84796384,3980487862,0,8.673264987063167
84796384,84796442,0,109.10930696054112
84796384,11282532378,0,41.65280043896104
84796442,3980487857,0,7.974801644856471
84796442,84796384,0,109.10930696054112
84796442,11167948533,0,10.40166985243387
84796460,3881267850,0,15.64425179844201
84796460,2816326653,0,83.44500387714328
84796460,2816326648,0,22.289781733855005
84806022,2837747211,0,8.073896685625837
84806051,3980487866,0,38.31841568205035
84806051,8027237856,0,45.18108367309969
84806051,1637881773,0,17.301864205300056
84806052,3980487866,0,6.894264525072284
84811004,2654104502,0,44.8459111625342
84811004,2654220757,0,25.35050734090339
84811004,2654220757,1,25.35050734090339
84811021,8075343481,0,23.112051298582916
84814772,8026935077,0,11.164136982659997
84814772,1637881796,0,20.29642525971307
84814772,1637881782,0,171.29601080370315
84828159,12437691527,0,21.959696462827996
84828159,8079687798,0,342.1991381660841
84828159,10082306522,0,32.68043659311688
84828161,1639426115,0,3.443036073613131
84828161,8067594613,0,65.47519423033276
84828161,10082306524,0,27.63939102392306
84833934,8004712615,0,6.5050272444706625
84833934,8002999656,0,4.948745797960285
84833934,5594000935,0,31.34463096835453
84833936,5594000945,0,7.131046047645578
84836633,4272413041,0,7.8497534659999895
84836664,4432821189,0,91.22603802931198
84837892,4255604482,0,5.793263862019657
84837892,7046174278,0,7.9928714622920145
84837892,2654220406,0,11.40005686381659
84837892,4255604522,0,78.62982685994702
84837894,6126833949,0,49.29031495675984
84837894,3980803779,0,20.378494676736214
84837894,2654220664,0,9.99711077561234
84853931,2969146787,0,10.00756220166986
84853931,8032264732,0,5.335504918109651
84853931,3428959188,0,135.58020726332572
84863802,3881267933,0,6.627617573869746
84863802,8001888923,0,29.687819566709244
84863802,84869123,0,21.13668787320644
84863807,4272412980,0,7.091899698558397
84863807,3881267937,0,46.431806190534715
84863807,1637869408,0,103.69713810629885
84863807,4272412974,0,16.280842134047134
84863993,4259619412,0,8.328786535013746
84863993,4259619351,0,10.597883044646942
84863993,4259619403,0,14.193464993913892
84864004,9242151165,0,10.686476805341563
84869123,8001888958,0,6.378261689477993
84869123,84863802,0,21.13668787320644
84869123,4272412945,0,6.3980112279999
84869123,84873633,0,112.8021250350219
84869333,4249725098,0,8.572528604783196
84869333,84909934,0,12.79985110194964
84869333,4249724876,0,12.306727061690475
84869344,1636758201,0,7.561870613201902
84869344,4259619483,0,7.562434693023249
84869344,4249725098,0,206.76537356777152
84873627,4272413075,0,77.86105276730575
84873627,8001888962,0,11.846454980812863
84873627,8001888913,0,6.609477178537468
84873633,3903818031,0,6.513503142575412
84873633,4269007226,0,163.7497175525206
84873633,84869123,0,112.8021250350219
84873639,4269007226,0,8.773292106152379
84873639,84747907,0,73.72371668533292
84873639,4270697189,0,213.81426923024245
84877024,4713792687,0,4.806115798537188
84877024,2816531112,0,18.286387328966615
84877024,1280386256,0,31.551215232457466
84877024,4593699432,0,16.352643097454305
84877026,2816531112,0,4.126559291068999
84877026,4713794602,0,152.5560695202842
84877026,84921146,0,48.46836470195335
84882467,1637869456,0,84.47689501720298
84909934,84869333,0,12.79985110194964
84909934,4249725110,0,9.320707318052849
84909934,4249725115,0,6.585051423638975
84909934,1636758221,0,104.3476596086849
84909959,4313709810,0,9.040180969020943
84909959,4313709812,0,14.186941129882332
84909959,4313709823,0,11.600163467878138
84913037,84913038,0,17.48209166366975
84913037,8061229187,0,137.86167334136937
84913037,8061229202,0,31.903822794073026
84913038,8070000288,0,47.762799875698065
84913038,2977968397,0,53.33202927660486
84913038,84913037,0,17.48209166366975
84913050,8070000292,0,28.667534197132372
84913050,84913051,0,66.50558181251924
84913050,84913051,1,66.50558181251924
84913051,8070005032,0,78.7928511437573
84913051,84913050,0,66.50558181251924
84913051,84913050,1,66.50558181251924
84913055,8070000287,0,25.628485171796598
84913055,84913056,0,31.69261201544222
84913055,8070005032,0,102.17819809831924
84913056,8061229205,0,38.32158113613575
84913056,84913055,0,31.69261201544222
84913056,8061229204,0,18.179699046825938
84921139,9238147026,0,6.14622832380697
84921139,8045866350,0,5.0164716212804175
84921146,5626051066,0,4.071130247826186
84921146,84877026,0,48.46836470195335
84921146,3980487890,0,41.63093205973824
84921146,4593699479,0,8.245584501623384
84921148,583406690,0,6.654211379100244
84921148,4713794614,0,9.751885454817996
84921148,3980487890,0,8.639892839040092
84923224,4339668148,0,6.026843264884682
84929723,2934330244,0,6.160821620520288
84932375,84932384,0,105.34843273165872
84932375,1637297255,0,7.040851396397459
84932375,2977630828,0,14.249557912395462
84932375,6491019532,0,154.57656343025636
84932384,84932375,0,105.34843273165872
84932384,4340348358,0,10.510688759122651
84932384,10138910763,0,11.330980964376657
84932384,1637297255,0,104.97429661240632
84942165,4249725598,0,10.582287188549863
84942165,4249725599,0,10.64021838968316
84942165,3881267872,0,11.176948553639745
84942176,8075343400,0,11.173360760925227
84942176,84748055,0,77.10325314846396
84942176,1280389704,0,158.87561087643172
582413724,582413727,0,25.22254135630197
582413727,582413736,0,34.68197416694928
582413727,582413751,0,46.64042926358673
582413727,582413724,0,25.22254135630197
582413736,582413727,0,34.68197416694928
582413744,4339659044,0,21.296393488642003
582413744,1329906230,0,2.236712919241202
582413744,582413753,0,60.04443732598139
582413751,582413753,0,18.471933001502187
582413751,8054050416,0,43.59575069481476
582413751,582413727,0,46.64042926358673
582413753,8054050422,0,1.6791570082150136
582413753,582413751,0,18.471933001502187
582413753,582413744,0,60.04443732598139
582413757,4741925727,0,19.28358553144677
582417508,1637898139,0,36.24084567401879
582417508,582417523,0,18.994251439218264
582417508,84729194,0,23.991663000539326
582417523,582417508,0,18.994251439218264
582417523,1637898139,0,40.57273548519897
582417523,1637898139,1,40.57273548519897
582417523,84729194,0,26.275401575945363
582417523,6135155472,0,22.032802837631603
582711198,582711202,0,67.00377241881476
582711198,10082929251,0,28.649853516518483
582711198,2814246592,0,5.932955800704239
582711198,9730039691,0,27.344923203105086
582711198,2814246588,0,20.10331280974625
582711198,2814246593,0,41.619181747643644
582711202,1637280190,0,22.77977262453318
582711202,2815551731,0,35.25034568470058
582711202,582711198,0,67.00377241881476
582711205,8064287502,0,18.223778243370585
582711205,2815551731,0,13.940110118392834
582711205,8064287491,0,9.245054826896329
582711205,12146816674,0,34.635708353070505
583406690,4593699424,0,7.183993126749973
583406690,11285146742,0,19.192468521541567
583406690,84921148,0,6.654211379100244
583406698,9725565956,0,5.9065384316781895
583406698,8015039890,0,8.202865853342937
583406698,4432821189,0,25.06798211372046
583406698,8015039887,0,48.137527345077984
610102050,4713794601,0,72.74555939135831
610102050,4713794602,0,9.808800685713361
610102050,8045866317,0,12.361883171197693
610102052,9725565987,0,18.55927465380256
610102052,8045866324,0,10.85334701233554
610102052,4741818632,0,33.16221504315856
610104180,3903818013,0,6.97892858010383
1021352993,8067594613,0,4.980080702567103
1021352993,8067594614,0,5.6404972898715
1021352993,10082349131,0,44.645804525880564
1277919001,6097330132,0,5.308027357077304
1277919001,3600808085,0,37.73538612401264
1277919001,6126831146,0,62.50604954123595
1277919001,7120553054,0,78.0602539000527
1280386255,3980487882,0,19.387924023931156
1280386255,2816068710,0,7.859832605896398
1280386255,4713794599,0,6.678153244793055
1280386256,84877024,0,31.551215232457466
1280389704,8034451795,0,44.678185686041644
1280389704,3903817959,0,12.294045305129153
